"lat","lng","tags","text","dur","file"
"","","D","répétition communication parler vrai","2min50","luzpoa-communication"
"28.7986","-17.9543","C","restaurante - un dia entero de calima gastronomica","1min15","poamichaumaya-restaurante"
"28.7093","-17.9214","DA","papelito fanzine papel hecho en pacha mama en 2017, https://github.com/minut/biblio/tree/main/papelito","",""
"","","MD","nous avons pris les vélos et puis marché avec nos pieds !","1min30","noe-onaprisvelo"
"28.8114","-17.9169","A","san-antonio canto al llanero","1min10","irene-atuventana"
"","","A","meter la zapata, Xente https://www.youtube.com/watch?v=3dO5Mi2UTKY","3min50","xente-zapata"
"28.6681","-17.9154","A","malana duo - no me matara el coraje","3min","candela-coraje"
"28.6677","-17.9154","A","malana duo - tierra corazon","3min50","candela-tierracorazon"
"28.6673","-17.9154","A","malana duo - fuego","2min10","candela-fuego"
"28.6669","-17.9154","A","malana duo - a mi me mueve el aire","3min40","candela-mueveaire"
"28.6665","-17.9154","A","malana duo - en la mar mis penas pude calmar","4min50","candela-enlamar"
"28.6661","-17.9154","A","malana duo - corre morenita sol cada una en su lugar","5min20","candela-morenita"
"28.794","-17.933","A","untoppled","1min40","wout-untoppled"
"28.7956","-17.9473","A","agua","3min","glo-agua"
"28.8513","-18.0251","A","sueño infinito","2min","glo-suenoinfinito"
"28.7971","-17.9411","A","guanábana - las chispas","4min","glo-guanabana"
"28.885","-17.9146","A","elevate - creación improvizada nacida de un encuentro gloriesco","3min30","glo-elevate"
"28.8041","-17.9246","AD","parada de la guagua - radio buscadora re-encuentra algunas dudas nuestras","4min30","poanoemik-paradaguagua"
"","","A","pinchos pican y te duelen","30s","poa-pinchospican"
"28.6373","-17.9905","A","tropical manu difunde el virus del amor","3min30","manutrop-virusdelamor"
"28.798","-17.9691","MD","carretera_1/8 ... se necesita de verdad ?","10min","e_c1"
"28.797","-17.9687","MD","carretera_2/8 ... no cumple con las leyes de sostenibilidad","9min","e_c2"
"28.796","-17.9684","MD","carretera_3/8 ... queremos ser otro Tenerife ?","10min","e_c3"
"28.795","-17.9681","MD","carretera_4/8 ... mejorar servicios locales !","9min","e_c4"
"28.794","-17.9677","MD","carretera_5/8 ... este proyecto no es para Garafia","8min","e_c5"
"28.793","-17.9673","MD","carretera_6/8 ... muchos caminos : otros proyectos !","10min","e_c6"
"28.792","-17.9669","MD","carretera_7/8 ... apoyar movimientos de transicion","9min","e_c7"
"28.791","-17.9665","MD","carretera_8/8 ... salvar lo natural !","10min","e_c8"
"28.7891","-17.956","D","hablar idiomas","50s","doro-idiomas"
"28.7882","-17.9484","D","estoy aqui en la Palma","2min","doro-estoyaqui30anos"
"28.8042","-17.9138","AC","Tigzirin tiknariyin - productos naturales","3min","guasi-TigzirinTiknariyin"
"28.8303","-17.9448","IA","osa polar es el paraiso multi-cultural de Santo Domingo, Garafia - https://www.facebook.com/people/OSA-POLAR-espacio-creativo/100063502631163","",""
"28.8062","-17.9128","IN","ubuntu - yo soy porque tu eres - encontrarnos","1min","guasi-ubuntu"
"28.8025","-17.9193","NO","comparto tierra a quien quiere cultivar","30s","guasi-tierracultivar"
"28.8197","-17.9274","A","Vivas https://www.youtube.com/watch?v=-gG8MMr_ugU © Osa Polar","7min","osapolar-vivas"
"28.8316","-17.9439","A","Lua Maria: Osa Polar Music Sessions https://www.youtube.com/watch?v=-q_V_Hcoj4A","4min30","osapolar-luamaria"
"28.7845","-17.8281","OA","caminar - lo natural es caminar","1min40","amb-cuicuicaminar"
"28.7933","-17.9516","AD","agradezco a mi vecino porque llama a toda voz pa compartir su sopa","1min","mus-tamborvecino"
"28.7664","-17.9791","A","orchestra prepara ceremonia de san Mauro en Puntagorda frente a la iglesia","1min30","mus-orchestrasanmauro1"
"28.7127","-17.9537","A","tijarafe - baila mi alma","1min","mus-antiguacanaria"
"28.7804","-17.9727","A","esperando la orchestra escenario viniendo","1min","mus-esperandolaorchestra"
"28.778","-17.9736","A","agradable eso de esperar a las almendras puntagordeñas","1min","mus-canarianplaylist"
"28.6494","-17.9478","A","machos alpha en tazacorte - puesta de sol - ellos tambien tienen corazon","1min","mus-guitaratazacorte"
"28.6662","-18.01","A","dolphin","2min","amb-marcalma"
"","","A","canta pajarito ! aunque no estes a mi lado","2min","mus-petercantapajarito"
"","","A","llevas sonrisa a cada de nuestros encuentros !","44s","mus-leoukulele"
"","","A","dale tus manos bang bang","30s","mus-batucada"
"","","A","sharing caring - a potential to wake up in the present biosphere - the new code","7min","newcode-sharingcaring"
"","","A","camera claro un video","25s","ninos-avale"
"","","A","encontrar un lugar y recursos basicos","21s","pom-lugarnormal"
"28.792","-17.9088","N","avena o grano ?","20s","guasro-avenagrana"
"","","TO","muchas tapas poco contenido","50s","manu-profundizarvida"
"28.8072","-17.9208","N","abrir y ver el bosque","33s","manu-verelbosque"
"","","O","caminar es lo mejor sin duda","1min","amb-caminarsimple"
"","","N","animales en el aire","1min","amb-birds"
"","","N","gato mio se me acerca cada mañana","15s","amb-gato"
"","","D","overcome crisis","50s","lou-womenmen"
"","","D","authentic expression of ourselves","29s","evel-authentic"
"","","D","share to millions","1min","evel-sharetomillions"
"","","D","microphone perspective - speaking channel","17s","evel-speakchannel"
"","","M","subir y bajar - mucha gente esta","33s","pom-subibaja"
"","","M","deporte de cada dia - la palma es gente de montaña","5min","pomiki-genteisla"
"28.8125","-17.89","N","tagasaste - fuente potente de nitrogeno","",""
"","","N","salva de pino brillante que cuidad cura gargantas y dolores cosmicas","",""
"","","B","lugar donde cosechar oregano ? compartimos !","",""
"","","BM","bicicleta entera o pieças para montar un taller de reparación - precio bajo porfa","",""
"28.6918","-17.928","SO","ofresco tablas de pino 2mx30cm un poco usadas","",""
"28.7975","-17.9535","SB","mantas o tejidos fuertes min 1m50 puedo pagar :) @kungun","",""
"28.7836","-17.9295","NB","quienes dueñ@s son de estos almendreros ? necesitan poda ya","",""
"28.8054","-17.9333","D","fuente de la negra - como cuidarla ?","",""
"28.7845","-17.9578","DB","cuanto es que cuesta ya este proyecto de carretera tricias-negro ?","",""
"28.8064","-17.9235","DB","taller de poda para frutales ? alguien para focalisar ?","",""
"28.7974","-17.9495","EA","miercoles dada cada 4pm - circulo tambores — en la sonrisa - participacion libre","",""
"28.7992","-17.9523","SO","kungun le regala un equipo de sonido 220V radio CD aux","",""
"28.7982","-17.953","OC","aguacates maduros ya para picar en el samuro negro del parking","",""
"28.744","-17.9432","DB","cerrado desde siempre el refugio de Tinizara ? ayuntamiento tiene llave ?","",""
"28.4","-17.86","DN","aqui somos territorio muy peculiar — no hagamos por favor este destrozo que ocurre en otras islas","",""
"28.8081","-17.9133","E","domingo 11h-14h - pan verduras meriendas - en Sabores de Garafia","",""
"28.8004","-17.9512","I","kungun finca les ofrece 11 physalis por visita - intercambiamos semillas y trucos ecológicos","",""
"28.6322","-17.9303","SCO","lonja - espacio de intercambios ropa cosas","",""
"28.8038","-17.9319","M","cada martes - llano negro > puntagorda 9am vuelta a 4pm","",""
"28.8061","-17.9653","M","podriase hacer una parada de guagua en esta recta que hay espacio ? seria agradecido por 5 vecinos viviendo cerca","",""
"28.8093","-17.9134","C","sabores de garafia - tienda ecologica verduras locales productos artesanales gente simpatica - lunes-miercoles sabado-domingo","",""
"28.8058","-17.9242","C","udaco es el lugar de encontrar todo lo que se hace falta","",""
